Dorial Green0Beckham ,@TB,16,0,0,0,0,0,519,3,0,0,0,69.9,0,0,69,0,69
Allen Hurns ,CAR,16,0,0,0,0,0,569,2,0,0,0,68.9,0,0,68,0,68
Devin Funchess ,@JAC,16,0,0,0,0,0,501,3,0,0,0,68.1,0,0,68,0,68
Tavon Austin ,SEA,16,0,0,0,263,1,297,1,0,0,0,68,0,32,35,0,67
Brian Hartline ,@NYJ,16,0,0,0,0,0,539,2,0,0,0,65.9,0,0,65,0,65
Marquess Wilson ,GB,16,0,0,0,0,0,522,2,0,0,0,64.2,0,0,64,0,64
Andre Holmes ,CIN,16,0,0,0,0,0,450,3,0,0,0,63,0,0,63,0,63
Hakeem Nicks ,@TB,16,0,0,0,0,0,441,3,0,0,0,62.1,0,0,62,0,62
Albert Wilson ,@HOU,16,0,0,0,0,0,491,2,0,0,0,61.1,0,0,61,0,61
Jermaine Kearse ,@STL,16,0,0,0,16,0,473,2,0,0,0,60.9,0,1,59,0,60
Cody Latimer ,BAL,16,0,0,0,0,0,365,4,0,0,0,60.5,0,0,60,0,60
Nate Washington ,KC,16,0,0,0,0,0,485,2,0,0,0,60.5,0,0,60,0,60
Phillip Dorsett ,@BUF,16,0,0,0,0,0,469,2,0,0,0,58.9,0,0,58,0,58
Rod Streater ,CIN,16,0,0,0,0,0,400,3,0,0,0,58,0,0,58,0,58
Devin Smith ,CLE,16,0,0,0,0,0,450,2,0,0,0,57,0,0,57,0,57
James Jones ,@DAL,16,0,0,0,0,0,437,2,0,0,0,55.7,0,0,55,0,55
Justin Hunter ,@TB,16,0,0,0,0,0,435,2,0,0,0,55.5,0,0,55,0,55
Aaron Dobson ,PIT,16,0,0,0,0,0,373,3,0,0,0,55.3,0,0,55,0,55
Sammie Coates ,@NE,16,0,0,0,8,0,427,2,0,0,0,55.5,0,0,54,0,54
Chris Hogan ,IND,16,0,0,0,0,0,416,2,0,0,0,53.6,0,0,53,0,53
Tyler Lockett ,@STL,16,0,0,0,36,0,437,1,0,0,0,53.3,0,3,49,0,52
Jarius Wright ,@SF,16,0,0,0,62,0,348,2,0,0,0,53,0,6,46,0,52
Riley Cooper ,@ATL,16,0,0,0,0,0,385,2,0,0,0,50.5,0,0,50,0,50
Harry Douglas ,@TB,16,0,0,0,0,0,441,1,0,0,0,50.1,0,0,50,0,50
Leonard Hankerson ,PHI,16,0,0,0,0,0,365,2,0,0,0,48.5,0,0,48,0,48
Jerricho Cotchery ,@JAC,16,0,0,0,0,0,420,1,0,0,0,48,0,0,48,0,48
Justin Hardy ,PHI,16,0,0,0,0,0,396,1,0,0,0,45.6,0,0,45,0,45
Kevin White ,GB,16,0,0,0,0,0,301,2,0,0,0,42.1,0,0,42,0,42
Devin Hester ,PHI,16,0,0,0,23,0,337,1,0,0,0,42,0,2,39,0,41
Corey Washington ,@DAL,16,0,0,0,0,0,237,3,0,0,0,41.7,0,0,41,0,41
